,explode,title,title_length,Category,publish_time,original,images,push_ratio_10,shh_ratio_10
0,0,田壘沒辦法挑戰NBA嗎,11,問卦,Mon Dec  2 22:36:32 2019,1,0,0.7,0.3
1,0,彰化人肉圓都吃哪家？,10,問卦,Mon Dec  2 22:36:52 2019,0,0,0.4,0.1
2,0,日本翻唱正妹こぴ的卦 ?,12,問卦,Mon Dec  2 22:37:16 2019,1,0,0.8,0.1
3,0,歐雨修談南部美食 高雄滷肉飯比台北更好,19,新聞,Mon Dec  2 22:37:47 2019,0,0,0.25,0.5
4,0,知道孫達陸的都幾歲惹?,11,問卦,Mon Dec  2 22:38:08 2019,1,0,0.3,0.3
5,0,為自由抗爭 港人：天滅中共是最有力口號,19,新聞,Mon Dec  2 22:38:16 2019,1,1,0.8,0.1
6,0,野原一家算是庶民嗎？,10,問卦,Mon Dec  2 22:41:08 2019,1,0,0.4,0.1
7,0,公務員是不是很窮？,9,問卦,Mon Dec  2 22:43:24 2019,0,0,0.5,0.5
8,0,交易過那麼多支手機卻檢查不出鏡頭裂痕?,19,問卦,Mon Dec  2 22:43:24 2019,1,0,0.4,0.2
9,0,彰化人肉圓都吃哪家？,10,問卦,Mon Dec  2 22:43:58 2019,0,1,0.5,0.1
10,1,黃國昌談網軍對台灣民主的傷害,14,爆卦,Mon Dec  2 22:44:49 2019,1,1,0.6,0.1
11,0,楊蕙如封口費要多少？,10,問卦,Mon Dec  2 22:44:58 2019,1,0,0.6,0.1
12,0,女議員單挑逼退港警 港民：沒有投錯票！,19,新聞,Mon Dec  2 22:45:04 2019,1,0,0.4,0.1
13,0,組圖：38萬港人「不忘初心」 多地爆發警民,21,新聞,Mon Dec  2 22:44:51 2019,1,1,1.0,0.0
14,0,邱毅遭爆財產「申報不實」　隱瞞中國節,18,新聞,Mon Dec  2 22:46:16 2019,1,0,0.4,0.0
15,0,把東西掉到地上的聲音變小的八卦?,16,問卦,Mon Dec  2 22:46:34 2019,1,0,0.3,0.4
16,0,高鐵確定南延屏東後 潘孟安：高捷確定南,19,新聞,Mon Dec  2 22:49:20 2019,1,0,0.4,0.1
17,0,交易過那麼多支手機卻檢查不出鏡頭裂痕?,19,問卦,Mon Dec  2 22:50:44 2019,0,0,0.4,0.2
18,0,哇操 花雕雞麵退步太多了吧？？,15,問卦,Mon Dec  2 22:52:03 2019,1,1,0.4,0.2
19,0,博士領三份證書的卦？,10,問卦,Mon Dec  2 22:53:20 2019,1,0,0.6,0.2
20,0,喜歡看捆綁系A片的都是什麼人？,15,問卦,Mon Dec  2 22:21:49 2019,1,0,0.5,0.3
21,0,朋友要去埃及 要注意什麼？,13,問卦,Mon Dec  2 22:21:50 2019,1,0,0.3,0.3
22,0,中國加強網路管控 新辦手機須掃描臉部,18,新聞,Mon Dec  2 22:22:33 2019,1,0,0.4,0.0
23,1,潛艦國造太貴了！外交家雜誌建議：智慧水,19,新聞,Mon Dec  2 22:24:39 2019,1,0,0.6,0.0
24,0,慟! 永野芽郁帶你上英文課的卦?,16,問卦,Mon Dec  2 22:24:46 2019,1,1,0.6,0.0
25,0,炸雞店賣綠茶的八卦,9,問卦,Mon Dec  2 22:26:21 2019,0,0,0.4444444444444444,0.0
26,0,慟！考完期中考該如何慶祝！,13,問卦,Mon Dec  2 22:27:36 2019,0,0,0.0,0.5
27,0,瞎！國軍以戰備急需款買平板電腦 營區卻,19,新聞,Mon Dec  2 22:28:18 2019,0,0,0.25,0.0
28,0,3000萬新臺幣在台北能幹嘛,14,問卦,Mon Dec  2 22:31:38 2019,1,0,0.7,0.0
29,0,9月6日FBI關閉天文台的八卦?,16,問卦,Mon Dec  2 22:31:44 2019,0,0,0.6666666666666666,0.0
30,0,PTT現在到底有幾方勢力混戰啊？,16,問卦,Mon Dec  2 22:32:00 2019,1,0,0.7,0.0
31,0,網軍到底算不算一種惡意破壞言論自由的招,19,問卦,Mon Dec  2 22:32:09 2019,1,1,0.4,0.2
32,0,美國人為何那麼愛國？,10,問卦,Mon Dec  2 22:32:20 2019,1,0,0.3,0.1
33,0,健保制度越好是不是影響房價的主因?,17,問卦,Mon Dec  2 22:32:23 2019,1,1,0.16666666666666666,0.16666666666666666
34,0,西甲》梅西致勝球特爾施特根神撲　巴薩,18,新聞,Mon Dec  2 22:32:59 2019,1,0,0.8,0.0
35,0,北檢認證「卡神」是綠網軍首領 下線發文,19,新聞,Mon Dec  2 22:34:44 2019,0,1,0.4,0.1
36,0,女同事今天穿毛衣，胸部曲線全都露,16,問卦,Mon Dec  2 22:35:05 2019,0,1,0.7142857142857143,0.2857142857142857
